Grabacion,Nombre,Hecho?,Comentarios
./sem6/slsem6o2016_10_15_06_37_00.wav,slsem6o2016_10_15_06_37_00,x,
./sem0/slsem0s2016_10_15_06_00_00.wav,slsem0s2016_10_15_06_00_00,x,
./semB/slsemBo2016_10_15_06_49_43.wav,slsemBo2016_10_15_06_49_43,x,Muy ruidosa
./sem9/slsem9s2016_10_15_06_43_00.wav,slsem9s2016_10_15_06_43_00,x,Pericos en el fondo
./sem9/slsem9s2016_10_15_06_44_00.wav,slsem9s2016_10_15_06_44_00,x,
./sem9/slsem9s2016_10_01_07_05_00.wavRem.wav,slsem9s2016_10_01_07_05_00.wavRem,x,Muy ruidosa
./sem4/slsem4o2016_10_15_06_33_37.wav,slsem4o2016_10_15_06_33_37,x,Muy ruidosa
./sem5/slsem5s2016_10_01_07_00_00.wavRem.wav,slsem5s2016_10_01_07_00_00.wavRem,x,
./sem5/slsem5s2016_10_15_06_36_00.wav,slsem5s2016_10_15_06_36_00,x,
./sem8/slsem8o2016_10_01_07_07_00.wavRem.wav,slsem8o2016_10_01_07_07_00.wavRem,x,Ruidosa
./sem8/slsem8s2016_10_01_14_00_00.wavRem.wav,slsem8s2016_10_01_14_00_00.wavRem,x,
./sem7/slsem7o2016_10_15_06_42_00.wav,slsem7o2016_10_15_06_42_00,x,
./sem7/slsem7o2016_10_15_06_41_00.wav,slsem7o2016_10_15_06_41_00,x,
./semA/slsemAs2016_10_01_14_05_00.wavRem.wav,slsemAs2016_10_01_14_05_00.wavRem,x,"Chipr-1 y chirp-2 consecutivos, ruidoso"
slsem5s2016_10_09_07_02_08.wav,slsem5s2016_10_09_07_02_08,x,
slsem6s2016_10_09_07_03_08.wav,slsem6s2016_10_09_07_03_08,x,
slsem7o2016_10_09_07_05_35.wav,slsem7o2016_10_09_07_05_35,x,muy ruidosa
slsem7o2016_10_09_07_06_49.wav,slsem7o2016_10_09_07_06_49,x,
slsemBs2016_10_09_07_05_19.wav,slsemBs2016_10_09_07_05_19,x,ruidosa
slsem4o2016_10_09_15_10_14.wav,slsem4o2016_10_09_15_10_14,x,
slsem5o2016_10_09_15_08_00.wav,slsem5o2016_10_09_15_08_00,x,
slsem6o2016_10_09_15_06_50.wav,slsem6o2016_10_09_15_06_50,x,
slsem7s2016_10_09_15_03_25.wav,slsem7s2016_10_09_15_03_25,x,
slsem9o2016_10_09_15_02_23.wav,slsem9o2016_10_09_15_02_23,x,
slsemBo2016_10_09_15_04_30.wav,slsemBo2016_10_09_15_04_30,x,
slsem5s2016_10_22_06_35_40.wav,slsem5s2016_10_22_06_35_40,x,medio
slsem5s2016_10_22_06_36_45.wav,slsem5s2016_10_22_06_36_45,x,alto
slsem6s2016_10_22_06_37_47.wav,slsem6s2016_10_22_06_37_47,x,medio
slsem7o2016_10_22_06_41_28.wav,slsem7o2016_10_22_06_41_28,x,bajo
slsem9s2016_10_22_06_42_47.wav,slsem9s2016_10_22_06_42_47,x,bajo
slsemBo2016_10_22_06_39_59.wav,slsemBo2016_10_22_06_39_59,x,alto
slsem5o2016_10_22_15_39_10.wav,slsem5o2016_10_22_15_39_10,x,alto
slsem6o2016_10_22_15_38_03.wav,slsem6o2016_10_22_15_38_03,x,alto
slsem7s2016_10_22_15_32_14.wav,slsem7s2016_10_22_15_32_14,x,medio
slsem7s2016_10_22_15_33_24.wav,slsem7s2016_10_22_15_33_24,x,bajo
slsem9s2016_10_22_15_30_54.wav,slsem9s2016_10_22_15_30_54,x,alto
slsemBo2016_10_22_15_35_40.wav,slsemBo2016_10_22_15_35_40,,alto
